id,customer_id,order_id,plan_id
101,1007,ORD000083071,2
102,1008,ORD000030497,3
103,1009,ORD000082941,2
104,1010,ORD000002640,1
105,1010,ORD000002641,3
106,1011,ORD000068900,1
107,1012,ORD000018781,1
108,1013,ORD000029962,3
109,1014,ORD000050557,4
110,1015,323da443-3a12-4e22-921b-6119903746f4,4
111,1016,ORD000059417,3
112,1016,ORD000059418,4
113,1016,ORD000059419,2
114,1016,ORD000059420,4
115,1017,ORD000003516,1
116,1017,ORD000003517,1
117,1017,ORD000003518,3
118,1017,ORD000003521,4
119,1017,ORD000003521,4
120,1017,ORD000003519,2
121,1017,ORD000003520,4
122,1018,ORD000023119,4
123,1018,ORD000023117,4
124,1018,ORD000023117,4
125,1018,ORD000023117,4
126,1018,ORD000023118,4
127,1019,ORD000074774,4
128,1020,ORD000040577,4
129,1020,ORD000040577,4
130,1020,ORD000040578,4
131,1020,ORD000040576,3
132,1020,ORD000040576,3
133,1020,ORD000040579,4
134,1021,ORD000100959,4
135,1022,ORD000008153,1
136,1023,b57394e6-30e8-43d7-9172-a3e3058396a1,1
137,1024,6a192bd6-9083-4fe6-8102-48c7bc11084f,1
138,1025,ORD000011432,4
139,1025,ORD000011433,1
140,1025,ORD000011435,4
141,1025,ORD000011435,4
142,1025,ORD000011435,4
143,1026,ORD000007775,4
144,1026,ORD000007775,4
145,1027,ORD000051927,4
146,1027,ORD000051928,4
147,1027,ORD000051929,4
148,1028,ORD000086398,1
149,1029,ORD000060918,4
150,1030,ORD000009995,3
151,1031,ORD000064752,3
152,1032,ORD000058553,1
153,1032,ORD000058556,1
154,1032,ORD000058556,1
155,1033,ORD000082502,4
156,1034,ORD000050556,4
157,1035,ORD000077241,4
158,1036,ORD000009985,4
159,1037,ORD000095270,4
160,1038,ORD000009099,4
161,1039,ORD000058083,1
162,1040,ORD000071496,4
163,1040,ORD000071497,4
164,1040,ORD000071497,4
165,1041,4e94a2ae-8498-45d5-a4e6-48b4b7570ce6,4
166,1041,1c7b080e-75c0-4e50-ada9-105a0fcb9bcb,4
167,1041,bc6fb163-bf6a-494a-958f-c846d4084224,4
168,1042,6233bb0b-d221-4508-89ae-14e5ce8432f1,4
169,1042,e5e9d1c6-a639-449b-981a-d19d06041fed,4
170,1043,0f5143f0-040d-498c-b817-fa81448f8c96,4
171,1043,293c6414-a637-4556-8163-7f040c99bb08,4
172,1044,0c6aeacc-9d56-45c5-ae27-709bdde2025c,4
173,1044,23fb6eaf-854d-4f61-bc35-dc5ac2959d26,4
174,1044,c67cfee2-9cb8-4370-8e32-2c55e63463ee,4
175,1044,c9546999-3f37-4e1d-b10f-02268dd47843,4
176,1045,05e6a7b7-df21-4eae-ac74-1a8a55cc4e94,4
177,1045,1894ac05-764b-4893-9a29-f525ad776724,4
178,1045,2a1efd6e-b1f6-46fa-971f-6a257be3c38f,4
179,1045,3eb37fd0-89f2-48c7-aca6-2c0ac59a059e,4
180,1046,ORD000090374,3
181,1047,ORD000033479,4
182,1048,ORD000079120,4
183,1048,ORD000079120,4
184,1048,ORD000079120,4
185,1049,ORD000027629,2
186,1049,ORD000027629,2
187,1050,ORD000083060,1
188,1051,ORD000066557,4
189,1052,72cf4a93-8e7c-4e2f-b437-f87679e50dd6,4
190,1052,da77c393-0e9b-4945-82e1-ca468baceffb,1
191,1052,ebb01e75-5588-44ae-b1a7-e5d9b326f8ac,1
192,1053,4acaf834-eeba-4f8d-bcb4-0d1810669760,4
193,1053,3c2aecbe-f8d9-43e7-8be6-b5c88e6a75d2,1
194,1053,4e6dedd7-1c49-494b-b983-b0e6b3a24ea5,1
195,1054,ORD000034961,2
196,1054,ORD000034961,2
197,1054,ORD000034961,2
198,1055,ORD000018081,1
199,1055,ORD000018081,1
200,1056,b0bcccac-5869-45b5-bab9-40d8c3f92a18,1
201,1057,736a1af2-c51f-49c4-889f-1fe899ec5455,1
202,1058,6f20d866-bb0a-4917-930a-59f43485f7dc,1
203,1058,7cc80e78-93ff-429e-857f-6a7b2123b8ad,1
204,1059,ORD000063374,4
205,1060,ORD000084563,1
206,1061,ORD000027290,4
207,1061,ORD000027290,4
208,1062,ORD000038540,4
209,1063,ORD000043925,4
210,1063,ORD000043926,1
211,1064,ORD000072357,4
212,1065,ORD000001185,1
213,1066,ORD000026845,4
214,1067,ORD000061099,1
215,1068,ORD000050447,1
216,1069,ORD000042638,1
217,1070,ORD000041059,4
218,1071,0dc58695-ef48-4cb3-94af-00380f9ce25d,4
219,1072,ORD000079686,4
220,1072,ORD000079687,4
